author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text
1351734817256210435,2022-06-10 14:52:12+00:00,1535273632301203456,en,839,12,40,60,where are all my people who didn’t just tolerate but LOVED leah since season 1
1354634700195819521,2022-06-22 20:29:32+00:00,1539707178872934400,en,38,1,1,0,"There are plenty of affordable options w/ 40+ hwy mpg under $20k. 

Sell your crappy car, get a markup in this inflationary environment, and get a used Prius, Jetta, Elantra, Versa, etc."
716997365752864768,2022-06-19 08:35:09+00:00,1538440234546909185,en,88,1,6,0,"currently on day 4: i had a bad headache the last few days, i thought it was because of not drinking coffee, but i actually just got covid lmfao https://t.co/tmG7bA93DL"
13049362,2022-06-20 16:56:01+00:00,1538928669716008960,en,13,9,0,1,The latest chapter in the ongoing contract dispute between Mo’Nique and D.L. Hughley has unfolded.  https://t.co/bGzlAwhmFR
1074528989333647360,2022-06-20 06:33:30+00:00,1538772009546416128,en,1,1,0,0,@Sprite_n_Spite As you should https://t.co/aY87cnnaCj
1024747857704878080,2022-06-18 22:07:26+00:00,1538282265255477248,en,19221,612,624,2716,CAPTAIN JACK SPARROW SHINING ON THE DISNEYLAND PARIS CASTLE 🏴‍☠️ https://t.co/PIJvv8oFAU
924270027557269504,2022-06-19 08:31:29+00:00,1538439313507115009,en,1619,22,266,115,So my brother Babu Owino had booked Jacaranda Grounds for his function today and even notified the police? But why would someone hold a rally there and disturb  peaceful people of Embakasi East with unnecessary noise on their resting day after waking up 4am daily to go to work?
1433011138350956547,2022-06-17 09:19:42+00:00,1537726670328799233,en,9,1,2,0,@kateBaloyi1 Also I think Chioma was triggered that she also lied about being remorseful…
1380330933484728324,2022-06-13 17:43:17+00:00,1536403850495655940,en,264,14,8,64,.@Stray_Kids CHAN WHERE ARE U?? PERU VS AUSTRALIA ITS HAPPENING RN!!!!!!  CHANLIX SAY BYE BYE TO THE WORLD CUP 👋🏻 PERU IS WINNING TODAY https://t.co/9gUrNdr10d
1125958025649577984,2022-06-13 16:21:39+00:00,1536383306773811201,en,419,31,12,76,"So let's talk about how @trystlink has deactivated my profile because a client complained that I would not see him. Let's have a real good conversation about this. Because fun fact, they deactivated my profile BEFORE reaching out to me for any information about this situation."
2450157581,2022-06-11 01:27:42+00:00,1535433562647928832,en,2035,336,150,253,"Stop all that cap! Tryna ruin ppl Careers cuz you at home miserable and broke. I was miserable and broke too making childish, hateful tweets in 2014. Im 28 years old. A grown ass adult. A completely different mindset on life from when I was 20.  But, yall knew dat."
1490708888047476736,2022-06-09 15:10:13+00:00,1534915778578984960,en,1,1,4,0,Big thanks to everyone who came out to the ballpark for our doubleheader against Berry this Tuesday. Join us again this afternoon at 5pm for games against Fayette and tomorrow at 4pm for games against Hamilton. https://t.co/F6coTNiQCL
85130989,2022-03-23 16:13:40+00:00,1506665491850567689,en,0,1,0,0,I swear I think our cleaning lady daughter stole my ring.. can’t prove it tho
1410851407998062592,2022-06-07 11:42:22+00:00,1534138694822531073,en,1266,271,5,533,"PP: I'm sad.Sad for what happened.If he just said I was alone, it wouldn't be as serious as if they also said BK
I think for the people I work with, I don't want them to lose confidence and not want to work with me.

 #BoomiZxPPkritt https://t.co/zyHlgPPxWV"
1103189431626821632,2022-06-03 08:55:55+00:00,1532647254888091648,zxx,69186,2960,1475,12463,https://t.co/KYnF1PzbZr
1324104100145963009,2022-04-29 20:32:06+00:00,1520138881395474432,en,1,1,0,0,@CriticalHit0928 I’ll put my shitty drawing here for you thanks https://t.co/4UQiJvxCxB
806002454781423617,2022-05-28 16:57:30+00:00,1530594123975053317,en,21,780,319,16,"@CatSindel Why would I? I'm not an activist, I don't even care about the Texas shooting thing because I hate kids."
978265628426432512,2022-05-29 21:27:48+00:00,1531024532231839744,en,13698,10739,15276,3784,Marjorie Taylor Greene says the government is planning to “zap” people inside their bodies if they try to eat a real cheeseburger. https://t.co/gCDHiH5Bsy
1348397542942396431,2022-05-29 23:21:39+00:00,1531053183732170752,en,40,1,1,0,"you throw homophobic and racist slurs towards someone and label it ""anger issues"". they get upset that you labeled their dead girlfriend a legitimate pedophile and never took accountability for it as ""bringing up past shit"" (from 3 months ago). i'm so sick of this god"
1401937811691933703,2022-04-07 14:45:36+00:00,1512079147811569685,en,0,1,1,0,I’m sorry gays but I can’t stand Carly Rae Jepsen’s music
792343946,2022-05-23 09:25:44+00:00,1528668491171110913,en,0,1,0,0,"Finish listen the EP, here’s my personal ranking: 

🥇Truth
🥈 Two
🥉Don’t care about me
4) Drive to the moon
5) NANANA
6) Don’t leave alone 

This ranking can change in the future 🫣

#GOT7_NANANA #JAYB  #MARK  #JACKSON  #JINYOUNG  #YOUNGJAE  #BAMBAM  #YUGYEOM #GOT7"
1205145492528750592,2022-05-26 13:56:02+00:00,1529823680305319941,en,177,1,7,5,"@MarkDelao7 Is it just me...or does anyone else want to hear Whoopi say, ""Good morning Mr. Rittenhouse."""
891850591,2022-05-23 16:08:28+00:00,1528769842194554881,en,54,5,3,8,2 million views… Meet the cats fighting Chicago's rat problem. https://t.co/sw5FhVnHsa https://t.co/lOu4Bpyhrs
4286569512,2022-05-20 19:46:36+00:00,1527737575913492485,en,189,2,45,8,Cash this MF!!!! https://t.co/qx1yCvawSO
17659206,2022-05-19 15:05:05+00:00,1527304339366477824,en,5270,1142,266,738,"HYBE Shares Response To #LE_SSERAFIM's #KimGaram's Alleged Victim's New Statement 
https://t.co/YOhht0sihf https://t.co/3xxHJeAfyx"
119841687,2022-05-18 07:01:13+00:00,1526820183167229952,en,2,1,0,0,You know you’re in deep when you spend literally all day debating what nail art/color palette you’re gonna go with like if this shit is permanent and even matters 👁👄👁
891806948,2022-05-18 12:36:55+00:00,1526904664050089984,en,898,91,51,208,"I’ve never written one of these before, but since an anti-CRT report that mischaracterized me and several others on the college’s own staff was officially adopted, I decided to respond. 

“An Open Letter to the Board of Trustees at @GroveCtyCollege” 🧵
https://t.co/3uHJx0lEzm"
831697912463839234,2022-05-15 17:02:21+00:00,1525884299681091584,en,15,1,0,8,You know what to do with this information. https://t.co/2LjzIbf1hi
1298372735383605249,2022-05-14 00:02:37+00:00,1525265289922895873,en,3122,588,2753,614,Lauren Boebert: “It’s interesting that we are having this baby formula shortage. Perhaps it’s from all the men who are becoming pregnant and cannot lactate on their own.” https://t.co/o0c43sjQG7
1006902130312187904,2022-05-09 10:48:58+00:00,1523616008434745344,en,1788,1101,276,184,Words you never wanna hear coming from a man’s mouth?
24897626,2022-05-10 01:35:29+00:00,1523839108006572032,en,62611,1926,399,9240,Al Horford tried to tell him https://t.co/mNx43Qjph2
1316225902070517761,2022-05-06 22:02:47+00:00,1522698415599022080,en,1,1,1,0,Starting up for the first time in a bit. Looking for a fun multiplayer shooter. Let’s give #ApexLegends a try today. It’s gonna be rough 😂🤣
1513321680441073667,2022-05-05 04:54:20+00:00,1522077209258831874,en,2,2,1,1,LEAKED: Meeting of Disney Leadership Exposes Insanely Woke Agenda Targeted Directly at Children https://t.co/aoK4WzOKth
17684375,2022-05-05 17:56:06+00:00,1522273949744123910,en,4,1,2,3,"Settlement reached between B.C. Indigenous man, Bank of Montreal for wrongful arrest https://t.co/BYnAJWtRVE https://t.co/GgbUEiya0x"
26842662,2022-05-04 23:08:04+00:00,1521990071213334529,en,1,2,0,1,"Disney stock down 23.5% since the beginning of March.  Disney+ continues to bleed away subscribers.

This likely would not have happened if the company had employed people who CARED for children instead of INDOCTRINATING them.

(Bet a lot of Disney execs don't even have kids...)"
1434764784,2022-05-01 16:30:00+00:00,1520802729173544961,en,9,1,0,2,"It's almost time! At Noon, it will be time to see the eight matchups and sixteen teams playing in the 2023 @NEGBBSHOWCASE.. watch right here!
#nebpreps https://t.co/HGRCqLDIVP"
1268256321842950144,2022-04-29 16:01:05+00:00,1520070676023062528,en,12,1,1,0,The amount of yall shootin shots in my DMs is very flattering lol
1384281684045008900,2022-03-26 19:40:54+00:00,1507804809642053640,es,2,2,3,0,"POR Q COÑO CECILIA TERMINA LA UNIVERSIDAD LA SEMANA Q VIENE, Q COÑO PASA EN MURCIA, ESTO Q ES, Q ROBO, Q ESTAFA, Q INJUSTICIA. CORRUPCIÓN!"
1206315326130020353,2022-04-24 13:20:37+00:00,1518218356511281152,en,222,1,40,0,What tf just happened.... https://t.co/OJr0OjTupn
165796189,2022-04-25 11:22:06+00:00,1518550914742865920,ur,114,41,13,29,"دعا زہرہ کے پولیس کو ملنے کی خبروں میں صداقت نہیں ہے: ڈی آئی جی آپریشنز لاہور
مزید پڑھیں: https://t.co/dAkBf1ZeO0
#GeoNews #DuaZehra https://t.co/Ua3kNq8Xae"
18139703,2022-04-22 17:07:06+00:00,1517550575352700929,en,42,4,5,3,"No one: What does ""heavy knitted underwear"" from the 1940s have to do with the government's legal strategy in the mask mandate case? 

Me: https://t.co/5cdjMQFFnD https://t.co/1VhR6fvRJ8"
1388216429988691972,2022-04-22 12:00:08+00:00,1517473324124852224,en,133,38,1218,28,"We’re more than halfway through #FinancialCapabilityMonth, and it’s always important to be careful where we get our financial information.

If you’re not sure where to start, go to https://t.co/Nk5MzN6px1 https://t.co/vJXF90BLrD"
1401918631190073352,2022-04-05 18:34:47+00:00,1511412048940384265,en,5,2,2,0,Who’s Amish in 2022??? Grow up.
379368187,2022-04-20 02:55:25+00:00,1516611467772002305,en,5,3,9,0,does anyone of my mutuals remember the amelia eve supremacy gc https://t.co/cmAN3teLwD
2591307505,2022-04-17 20:15:11+00:00,1515785968074170370,en,7,1,1,0,"after that 7.2 earthquake, I feel like we entered a final destination timeline and mother nature has to strike again to make sure we die"
243287822,2022-04-19 13:42:36+00:00,1516411948916744195,en,170989,11623,5083,11287,Hey! So I know some of you heard about the song I got w Pusha. I did this song a year ago when I was still cool w Kanye.  I am not cool w that man.  He's not my friend and I only cleared the song for Pusha cuz thats my guy. This is the last song u will hear me on w Kanye -Scott
262961606,2022-04-17 16:21:40+00:00,1515727201601212432,en,7143,92,1,2414,"A gentle reminder that Utada Hikaru is non-binary and uses she/they pronouns. 

They also go by Mys instead of Mr/Ms/Mrs. https://t.co/cb7SKiYodt"
129750807,2022-03-31 19:48:53+00:00,1509618756879884296,en,35360,1326,526,6948,"There's a room in Prague Castle where they show all the weapons people tried to put guns on.
Swordgun. Axegun. Knifegun. Shieldgun. Macegun. https://t.co/eLuAEGAvt6"
2772543750,2022-04-02 01:27:56+00:00,1510066470155583494,en,577,16,15,44,"KCP last 4 games:

25.5 PPG
67.8 FG%
57.7 3P% on 6.5 attempts

The Wizards have beaten the Mavs and Warriors this week. https://t.co/fVMt0DMRGV"
135359768,2022-03-28 02:49:16+00:00,1508274998234001414,en,10,1,2,0,This is the most bizarre and distracting “In Memoriam” for any awards show ever. #AcademyAwards
48668434,2022-03-28 23:32:37+00:00,1508587897053609984,en,10584,907,1109,1844,"JUST IN: Will Smith issued an apology to Chris Rock. In his statement, Smith said what he did was unacceptable &amp; inexcusable. He also apologized to The Academy. 

He adds, 'I deeply regret that my behavior has stained what has been an otherwise gorgeous journey for all of us.' https://t.co/YLj4ZZTwoo"
1271067225919815681,2022-03-28 18:01:21+00:00,1508504532761956355,en,16381,140,68,1458,USA TODAY chooses Beyoncé’s performance as the best of the 2022 #Oscars https://t.co/4GBaTz4002
1030429688664080389,2022-03-29 09:03:56+00:00,1508731674187771904,zxx,0,1,0,0,https://t.co/2uLsw16Rg6
774118997352603649,2022-03-29 04:28:26+00:00,1508662342267023365,en,0,1,0,0,"#WillSmith apologized to #ChrisRock on Monday for slapping the comedian at Sunday night's #Oscars ceremony, issuing a statement after the film academy said it might take action against Smith for an incident that overshadowed the industry's top awards."
38228095,2022-03-29 01:30:01+00:00,1508617443014500360,en,3,1,1,1,"Well we've gotten the first statement from the Oscars fallout, a heartfelt apology from Will Smith

https://t.co/aJ1tCBFzdu"
1184311113720258560,2022-03-28 18:26:34+00:00,1508510876571217928,en,385,12,16,25,"""What did the 5 fingers say to the face?""

Happy Born Day @JOEL9ONE 🎉

@MaconPlays | @BIGN98 | @WynnBET https://t.co/VCVfMBMi6e"
28785486,2022-03-28 23:36:48+00:00,1508588948976807937,en,8172,346,2301,1312,"NEW: Actor Will Smith apologized on Instagram for slapping Chris Rock after the comedian made a joke about Smith's wife, Jada Pinkett Smith, at the #Oscars. https://t.co/1yKpg7BXQu https://t.co/FrGnjFickC"
29270341,2022-03-28 20:36:11+00:00,1508543498026467340,en,52,3,10,32,"""The Academy condemns the actions of Mr. Smith last night—We have officially started a formal review around the incident &amp; will explore further action &amp; consequences in accordance with our Bylaws, Standards of Conduct &amp; CA law”🤷‍♀️ 
#DemVoice1
#BlueVoices
https://t.co/tfT5cldSgf"
17525171,2022-03-28 23:34:04+00:00,1508588261375033344,en,1878,207,188,574,Here's Will Smith's full statement on the #Oscars incident: https://t.co/WrMBlz2gBy https://t.co/k1u9aqsWjh
890891,2022-03-26 03:59:51+00:00,1507567984914550784,en,10643,175,69,1149,"The Caleb Love game.

30 PTS (27 in 2nd half) | 6 3 PT https://t.co/SGyXRf8Fuu"
1293355637708070913,2022-03-25 21:28:51+00:00,1507469586274275330,en,14,1,3,1,"@matchancreme choices to act on feelings in a moment, we realize post-mortem that mebbe we could've handled things differently
Arryn expressed that she felt uncomfortable;
while I agree this could've been handled differently, this wasn't an act of selfishness or malice"
715005604171886593,2022-03-22 02:23:08+00:00,1506094095856504832,en,60,80,88,7,"An apology to @LittleKarrot

Read: https://t.co/7G0VLYD0XO"
336904434,2022-03-20 01:12:07+00:00,1505351444819750914,en,2,1,0,0,"I love Muss, I just wanna publicly state that I don’t understand why Lykes comes in for Notae when Notae is not in foul trouble"
1472666155278118918,2022-03-19 18:10:18+00:00,1505245294421807105,en,0,1,1,0,"https://t.co/UhQGr3fg3l

Good
No divorce

Text me so I can yell at you some more &amp; be nice too
You &amp; your stupid cease and desist. You're just going to have to trust me not to slap you with another restraining order like I have to trust you not to divorce me when I take you back https://t.co/DNNBHmuen5"
1483558813353627651,2022-03-18 19:51:16+00:00,1504908312772739072,en,163,27,24,19,lol alright y’all. Belle is a terrible person here’s some SS from our whatsapp gc:
882601,2022-03-17 14:28:56+00:00,1504464807793074178,en,229,8,12,16,"Streamer tip: DO NOT ""shout out"" viewers who are either lurking or just watching. It's awkward for everyone. Especially if they are there to just vibe and support you with a view. If they chat then great say hi. But don't call someone out if they haven't given you permission to."
1362643505126936576,2022-03-10 01:54:50+00:00,1501738317557248003,en,0,1,0,0,This probably total slander but trust me why do i feel like he'd be into some fucked up shit
412722456,2022-03-11 12:58:49+00:00,1502267803738517510,en,3,1,1,0,"So, 

After several conversations AT length.

I need to go see the Batman again, and treat this like I would any other superhero movie, which I ALWAYS go see twice.

It’s sad that I got an overhyped mindset on my fan approach, but it’s time for the critical approach."
1387889588459421696,2022-03-13 13:49:32+00:00,1503005339771445250,en,106,8,20,86,"🚨Hex Giveaway 🚨 1000+ Hex 
Today at 11 we have a big one! @RealMattyCrypto 🤌🏻🤌🏻🤌🏻

If you retweet this you are eligible 

The topic today is about leverage trading! Why it’s 🗑 @Sam_A_Stolt 

GRC is a Ex gambling addict 🤫

#hexicans #pulsechain 

https://t.co/VltgM2c16g https://t.co/NbPvPJe1XB"
569380891,2022-03-13 19:24:28+00:00,1503089629125394434,en,209,5,3,19,"Love the reaction from Chris Mooney’s family. What a special moment for him, his family, and all the Richmond Spiders. Sports is magical sometimes https://t.co/E39etBowKd"
1308842176546304006,2021-03-17 17:42:43+00:00,1372242004655112202,en,0,1,1,0,what's the worst zodiac sign in your opinion
107917068,2022-03-09 19:13:26+00:00,1501637302518386688,en,21,1,2,1,"But what makes me sad is Eric’s intolerance. We’ve known each other for years and he just jumps to conclude I’m in a cult. Maybe he should talk to Phillerd? Maybe if Eric really cared about me, he’d sit down with me and Phillerd instead of just starting rumors."
173207710,2022-03-09 18:54:47+00:00,1501632607221649413,en,15,0,1,0,"This is a cult. A How To Have A Moneymaking Garage Sale Starring Phyllis Diller CULT. And my friend Ethan is a part of it. I shouldn’t even be tweeting this, I don’t want him to know that I know but I’m hoping speaking truth to power might do something. I will keep you updated."
3399786267,2022-03-06 17:25:43+00:00,1500523030258360325,en,0,1,0,0,OF COURSE Shayne is exactly my type physically but OF COURSE he’s an asshole 😪#LoveIsBlind
1284066370687135746,2022-03-07 19:12:23+00:00,1500912263326482432,en,1,1,3,0,Kuttelog none trust me😢😡😡😡 https://t.co/RGbXgTEo3T
95550261,2022-03-06 13:40:30+00:00,1500466352745811973,en,1,1,0,0,Naaa dont give up on me that easy That is a NY staple in tha breakfast sandwiches people done had worst. Theres still some hope left man https://t.co/H25BCgJlom https://t.co/04tYBjZkwz
1140451,2022-03-02 22:15:24+00:00,1499146380673261571,en,5909,2662,819,2081,"U.S. Rep. Van Taylor, R-Plano, has decided to end his reelection campaign amid 11th-hour allegations of infidelity with a former jihadist who was once married to a commander for the Islamic State

https://t.co/s3qCxEjhiG"
984033491737305091,2022-03-02 18:58:57+00:00,1499096941405294595,en,237,381,31,64,sigh. fems down https://t.co/9teLdVnS8d
26637348,2022-02-24 03:57:47+00:00,1496695830715142148,en,111836,11299,42742,24346,"This war and suffering could have easily been avoided if Biden Admin/NATO had simply acknowledged Russia’s legitimate security concerns regarding Ukraine’s becoming a member of NATO, which would mean US/NATO forces right on Russia’s border"
1484941873210961922,2022-02-21 20:14:28+00:00,1495854456080158722,en,9,2,0,2,"Chain #3 begins with the Oscar-winning Harrison Ford thriller WITNESS! On this ep, @DREWAUGER95 and @nickriccardo debate their chance to survive among the Amish...

CURRENT CHAIN: VIGGO MORTENSEN ➡️ ELLEN BURSTYN 

SPOTIFY: https://t.co/AHVVetHkYX

ITUNES: https://t.co/KMuiq3UntZ https://t.co/owMBGWHRCA"
1044604087013015552,2022-02-18 03:47:03+00:00,1494518801001431042,en,1782,998,2541,161,"COVID restrictions are lifting. The end is in sight. It's time to forgive all the people you disagreed with.

No one had a monopoly on the truth, good information was hard to find and kept changing, and we all went friggin crazy.

Once the pandemic's over, let it be over."
4048289963,2022-02-08 20:06:38+00:00,1491141440105185280,da,20,7,1,5,"all is fair in love and war
-
kanej college social media au https://t.co/ezGNy7PRpJ"
1120885782,2022-02-18 13:42:16+00:00,1494668590599004168,en,0,1,1,0,"@TorontoStar @liberal_party @JustinTrudeau @globeandmail @reggcohn @netflix @CBCNews @BBC @DrFahadRazak @UofT @cdavidnaylor @IDF @ChineseEmbinUS @Beijing2022 @POTUS @jaketapper @nytimes @genocide_watch @PMOIndia @UN @timesofindia @htTweets @TimesNow @joerogan @BBCBreaking @ImranKhanPTI @TuckerCarlson @FoxNews @MelissaLantsman @CTV @CPC_HQ @CandiceBergenMP https://t.co/kk1ZrKlNzi
JT was on the ropes prior to the protests for vaccine mandates. Go read the scolding I gave him. I was going to vote CP again in next election but with extremists hijacking the CP &amp; collaborating with neo-Nazis, I can't. I now support JT against fascists."
1425491453812396040,2022-02-15 02:30:07+00:00,1493412276619128834,en,60,4,0,18,"@The_FJC @LesleyRStahl Well, have you reached out to Trump and if n
how about apologizing to the 60 Minutes audience."
16031927,2022-02-13 17:14:30+00:00,1492910061970202624,en,150,8,71,24,"Of course I don’t think a ‘rushed’ investigation is a good idea…but at some point, it no longer becomes ‘rushed’ but ‘dragged out’ - American taxpayers are paying for this and at a minimum should have explanation why taking so long (time is money!) https://t.co/v2Ydmizjbc"
3309824255,2022-02-13 14:02:37+00:00,1492861774441467911,en,5,1,1,0,@StomboyYUFFIE Ryu isn’t stoer
1266112854039695376,2022-02-13 02:17:20+00:00,1492684283659575297,en,0,1,1,0,"@RachBoogaloo @YALiberty @dylan4liberty Hey Rachel, I'm really sorry you feel this way.

I will DM and see how I can help."
816185116636676096,2022-02-10 03:20:22+00:00,1491612982870171651,en,4,1,1,0,casper is like u dont understand i HAVE to walk across ur keyboard. i dont care if theres space behind ur laptop. i have to step onto ur keys ir else
88207628,2022-02-06 16:58:08+00:00,1490369228511363077,en,97,3,7,4,"TOP 5 SCREENS IN NYC:
1. Walter Reade Theater 
2. Theater 1 @ Village East
3. Redstone Theater @ Museum of the Moving Image
4. Spectacle Theater 
5. Theater 1 @ IFC Center"
1300801496527843330,2022-02-08 02:33:02+00:00,1490876295286181892,en,9,1,6,1,@cobie the person publicly stated they hated a particular nationality. don't think that's part of any song lyrics or religion
19730552,2022-02-07 23:38:00+00:00,1490832248035483651,en,0,1,0,0,"@wlohaty 25 and 26 prospects. 😉 It’s ok tho, you’re probably new here."
1364078882945568772,2022-02-07 09:16:17+00:00,1490615390161887237,en,1954,55,2,307,"I'm personally questioning the decision made by fanbases to focus on Best Performance category for SVT, NOT UNTIL today when I saw how powerful the fans of Lim Young Woong. Sweeping AOTY, SOTY, MVOTY, Trot Singer, &amp; Male Solo. Our fanbases are sure the best decision makers!"
1486240401010814976,2022-02-02 06:06:58+00:00,1488755807021793281,en,0,1,2,0,"@AMC_Tutor @jallen1315 This wasn’t a case of “miswording” your tweet — this was a failure of understanding and applying basic con law free speech principles. You used legal buzz words to draw outrage, which shows,again, your failure to understand basic legal principles. You put yourself out there 1/2"
1240280727331225603,2022-01-30 16:54:03+00:00,1487831485826707461,en,123,1,16,12,Whats the next project to hit a 10E floor and why is it @capsule_house  ?
894474812,2022-01-30 16:05:01+00:00,1487819147090309120,en,146,4,14,25,Notice ..Josh Anderson telling Zack Kassian to get out of Samuel Montembeault's face or else https://t.co/nuDIGtLme1
543838520,2022-01-29 19:23:24+00:00,1487506684444557312,en,1,1,0,0,okay so I slept on it any it’s still crazy how women be shopping. I can’t get my head around it. they be shopping. it’s so wild. https://t.co/uwRvRuO13z
813286,2022-01-27 16:00:44+00:00,1486730904970006542,en,82951,449,1391,12280,"On Holocaust Remembrance Day, we honor the victims and survivors of one of the darkest periods in our history. But it’s not enough to remember — we also need to have the courage to speak out against acts of bigotry and hatred whenever we see them."
29261128,2022-01-28 13:08:44+00:00,1487050006641225735,en,5605,2271,216,1085,"CNN Exclusive: Mountain Dew Baja Blast is being turned into a spiked seltzer 🏄🏼‍♂️
https://t.co/rb6waf6XVp https://t.co/MZR6pWTnuU"
1612067526,2022-01-26 02:30:54+00:00,1486164716149829632,en,1224,16,108,128,That’s EXACTLY why they were rooting against him. And because of his idiotic comments about President Biden. And because his doctor is Joe Rogan. And because of his bogus war against cancel culture. And because.... https://t.co/NPZx547dLP
1486085120868159494,2022-01-27 01:25:11+00:00,1486510567296745473,en,2,1,0,0,Senate Democrats will hold a meeting to discuss Kristen Woods and her leadership within the caucus.
1055699213336612865,2022-01-24 00:08:06+00:00,1485404005312438275,en,2,1,0,0,"@Riedal64 I am at such a loss for words right now. I never want to say a system is faking because that’s not my place to say if they are, but using it as an excuse to ‘switch’ and then attack someone and hide behind it is eww. I’m so sorry that you’re dealing with such a gross situation."
797091761462083584,2022-01-21 19:56:05+00:00,1484615805908275204,en,2,1,1,0,@Brandi_Buchman @david_oddo I’ve never heard your voice before. I think it really is a benefit to actually hear the actual voice of a journalist I trust.
4446485534,2022-01-19 00:47:50+00:00,1483602064357793793,en,155,7,12,25,@elonmusk @tesla_raj So...next year then? https://t.co/ozkkW9Klt6
26257166,2022-01-18 04:51:52+00:00,1483301087989825536,en,18107,908,295,2677,RUSS THROWS IT DOWN ON GOBERT 😤 https://t.co/By47KXHlIb
799617898847281153,2022-01-15 21:51:01+00:00,1482470400789557254,en,1104,12,25,82,"Your apology better be as loud as your disrespect. 

King @WMckennie 👑 https://t.co/vGqUrRX8gA"
220195175,2022-01-09 06:04:27+00:00,1480057864584843268,en,434226,31000,5163,186232,I hate that we as women have to be subjected to mens humor to appease incels on the internet period
4504895053,2022-01-02 23:35:13+00:00,1477785581035872262,en,5,1,1,1,"if dumb bitch had a picture in a dictionary, it would be of him https://t.co/F6ZFYBJ1YI"
143629311,2022-01-08 22:53:08+00:00,1479949320753496075,en,441,131,71,18,"Ime Udoka said that the Celtics didn't follow the gameplan against Evan Fournier. The plan was to go over screens and be physical with Fournier, but the Celtics kept going under on screens and losing track of him regularly."
1122211825452556288,2022-01-06 21:40:59+00:00,1479206385053282305,en,1,1,1,0,"@Gabadadi @beaniemaxi @ColeThereum @wolfdotgame Cole has been nice to me so I have been nice to him. He had a bad rep before this for all these bad things he apparently did but personally I just felt like he didn’t do much wrong

But now that I’ve seen for myself what sort of stuff is going on I’ve definitely distanced myself"
286998245,2022-01-04 02:20:16+00:00,1478189508243832833,en,2903,2969,315,571,"Tristan Thompson says his paternity test proves he's the father, and publicly apologizes to Khloe Kardashian https://t.co/pxhrJ64v2j"
1418934783883816968,2022-01-02 10:27:05+00:00,1477587240427655172,en,209,30,21,34,Ladies who post their pics here don't have content. Their brain can't think and create so they capitalise on pictures. 😊😊😊 Twitter is slowly becoming IG because of people who can't create content.
157381435,2022-01-02 15:25:06+00:00,1477662240341995525,en,10694,134,61,938,Am told Chelsea squad broadly supportive of how Tuchel has handled all this.
1408277915624685574,2021-12-30 12:37:11+00:00,1476532820906582017,en,6,1,1,0,@TheRealChustins @NerosCinema @OGKrushz @SHGames You’re part of the problem then feeding the greed at @Activision load of money
733504079180095488,2021-12-29 20:44:29+00:00,1476293066151514113,en,1,1,2,0,If you like poker world drama go here now https://t.co/aZd7IQT1je
1113747629282930688,2021-12-27 20:41:47+00:00,1475567608787345411,en,3978,180,208,439,"One can don an FFP2, FFP3, N95 mask, or a hazmat suit, or whatnot, but at this stage, all this may achieve is to delay the time until some of us will get infected, and thereby marginally prolong the pandemic.
2/"
88035633,2021-12-22 19:32:59+00:00,1473738355116498951,en,49762,885,2929,2611,"Was just explaining to someone that it was totally normal in the late 70’s for divorced parents to send very, very young children on flights by themselves across the country where people chain smoked and the kids collected little liquor bottles and it all worked out fine."
94089529,2021-12-21 03:50:44+00:00,1473138841246744577,en,396,348,394,51,What is your wrestling wish for 2022?
